date,zone,vehicle,timing,availability
2020-09-13,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-13,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-13,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-13,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-13,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-13,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-13,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-13,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-14,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-14,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-14,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-14,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-14,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-14,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-14,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-14,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-15,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-15,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-15,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-15,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-15,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-15,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-15,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-15,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-16,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-16,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-16,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-16,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-16,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-16,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-16,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-16,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-17,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-17,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-17,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-17,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-17,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-17,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-17,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-17,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-18,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-18,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-18,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-18,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-18,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-18,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-18,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-18,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-19,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-19,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-19,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-19,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-19,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-19,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-19,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-19,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-20,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-20,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-20,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-20,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-20,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-20,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-20,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-20,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-21,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-21,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-21,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-21,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-21,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-21,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-21,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-21,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-22,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-22,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-22,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-22,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-22,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-22,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-22,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-22,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-23,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-23,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-23,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-23,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-23,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-23,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-23,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-23,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-24,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-24,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-24,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-24,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-24,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-24,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-24,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-24,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-25,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-25,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-25,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-25,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-25,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-25,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-25,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-25,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-26,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-26,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-26,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-26,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-26,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-26,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-26,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-26,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-27,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-27,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-27,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-27,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-27,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-27,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-27,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-27,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-28,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-28,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-28,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-28,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-28,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-28,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-28,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-28,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-29,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-29,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-29,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-29,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-29,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-29,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-29,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-29,Zone 6/7/8/9/10,Canter,Evening,20
2020-09-30,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-09-30,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-09-30,Zone 1/2/3/4/5,Canter,Morning,20
2020-09-30,Zone 1/2/3/4/5,Canter,Evening,20
2020-09-30,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-09-30,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-09-30,Zone 6/7/8/9/10,Canter,Morning,20
2020-09-30,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-01,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-01,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-01,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-01,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-01,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-01,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-01,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-01,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-02,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-02,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-02,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-02,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-02,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-02,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-02,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-02,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-03,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-03,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-03,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-03,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-03,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-03,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-03,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-03,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-04,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-04,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-04,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-04,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-04,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-04,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-04,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-04,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-05,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-05,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-05,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-05,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-05,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-05,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-05,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-05,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-06,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-06,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-06,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-06,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-06,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-06,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-06,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-06,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-07,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-07,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-07,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-07,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-07,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-07,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-07,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-07,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-08,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-08,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-08,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-08,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-08,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-08,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-08,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-08,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-09,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-09,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-09,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-09,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-09,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-09,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-09,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-09,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-10,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-10,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-10,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-10,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-10,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-10,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-10,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-10,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-11,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-11,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-11,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-11,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-11,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-11,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-11,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-11,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-12,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-12,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-12,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-12,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-12,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-12,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-12,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-12,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-13,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-13,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-13,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-13,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-13,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-13,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-13,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-13,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-14,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-14,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-14,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-14,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-14,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-14,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-14,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-14,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-15,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-15,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-15,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-15,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-15,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-15,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-15,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-15,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-16,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-16,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-16,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-16,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-16,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-16,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-16,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-16,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-17,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-17,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-17,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-17,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-17,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-17,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-17,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-17,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-18,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-18,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-18,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-18,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-18,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-18,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-18,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-18,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-19,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-19,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-19,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-19,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-19,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-19,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-19,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-19,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-20,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-20,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-20,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-20,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-20,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-20,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-20,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-20,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-21,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-21,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-21,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-21,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-21,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-21,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-21,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-21,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-22,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-22,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-22,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-22,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-22,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-22,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-22,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-22,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-23,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-23,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-23,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-23,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-23,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-23,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-23,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-23,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-24,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-24,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-24,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-24,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-24,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-24,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-24,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-24,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-25,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-25,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-25,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-25,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-25,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-25,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-25,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-25,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-26,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-26,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-26,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-26,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-26,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-26,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-26,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-26,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-27,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-27,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-27,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-27,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-27,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-27,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-27,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-27,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-28,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-28,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-28,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-28,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-28,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-28,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-28,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-28,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-29,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-29,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-29,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-29,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-29,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-29,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-29,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-29,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-30,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-30,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-30,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-30,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-30,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-30,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-30,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-30,Zone 6/7/8/9/10,Canter,Evening,20
2020-10-31,Zone 1/2/3/4/5,Gypsy,Morning,6
2020-10-31,Zone 1/2/3/4/5,Gypsy,Evening,6
2020-10-31,Zone 1/2/3/4/5,Canter,Morning,20
2020-10-31,Zone 1/2/3/4/5,Canter,Evening,20
2020-10-31,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-10-31,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-10-31,Zone 6/7/8/9/10,Canter,Morning,20
2020-10-31,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-01,Zone 1/2/3/4/5,Gypsy,Morning,11
2020-11-01,Zone 1/2/3/4/5,Gypsy,Evening,11
2020-11-01,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-01,Zone 1/2/3/4/5,Canter,Evening,20
2020-11-01,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-11-01,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-11-01,Zone 6/7/8/9/10,Canter,Morning,20
2020-11-01,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-02,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-11-02,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-11-02,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-02,Zone 1/2/3/4/5,Canter,Evening,20
2020-11-02,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-11-02,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-11-02,Zone 6/7/8/9/10,Canter,Morning,20
2020-11-02,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-03,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-11-03,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-11-03,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-03,Zone 1/2/3/4/5,Canter,Evening,20
2020-11-03,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-11-03,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-11-03,Zone 6/7/8/9/10,Canter,Morning,20
2020-11-03,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-04,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-11-04,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-11-04,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-04,Zone 1/2/3/4/5,Canter,Evening,20
2020-11-04,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-11-04,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-11-04,Zone 6/7/8/9/10,Canter,Morning,20
2020-11-04,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-05,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-11-05,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-11-05,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-05,Zone 1/2/3/4/5,Canter,Evening,20
2020-11-05,Zone 6/7/8/9/10,Gypsy,Morning,20
2020-11-05,Zone 6/7/8/9/10,Gypsy,Evening,20
2020-11-05,Zone 6/7/8/9/10,Canter,Morning,20
2020-11-05,Zone 6/7/8/9/10,Canter,Evening,20
2020-11-06,Zone 1/2/3/4/5,Gypsy,Morning,20
2020-11-06,Zone 1/2/3/4/5,Gypsy,Evening,20
2020-11-06,Zone 1/2/3/4/5,Canter,Morning,20
2020-11-06,Zone 1/2/3/4/5,Canter,Evening,20
